Team Name,Wins,Losses,W/L%
Golden State Warriors*,57,25,0.695
Denver Nuggets*,54,28,0.659
Portland Trail Blazers*,53,29,0.646
Houston Rockets*,53,29,0.646
Utah Jazz*,50,32,0.61
Oklahoma City Thunder*,49,33,0.598
San Antonio Spurs*,48,34,0.585
Los Angeles Clippers*,48,34,0.585
Sacramento Kings,39,43,0.476
Los Angeles Lakers,37,45,0.451
Minnesota Timberwolves,36,46,0.439
Memphis Grizzlies,33,49,0.402
New Orleans Pelicans,33,49,0.402
Dallas Mavericks,33,49,0.402
Phoenix Suns,19,63,0.232
Milwaukee Bucks*,60,22,0.732
Toronto Raptors*,58,24,0.707
Philadelphia 76ers*,51,31,0.622
Boston Celtics*,49,33,0.598
Indiana Pacers*,48,34,0.585
Brooklyn Nets*,42,40,0.512
Orlando Magic*,42,40,0.512
Detroit Pistons*,41,41,0.5
Charlotte Hornets,39,43,0.476
Miami Heat,39,43,0.476
Washington Wizards,32,50,0.39
Atlanta Hawks,29,53,0.354
Chicago Bulls,22,60,0.268
Cleveland Cavaliers,19,63,0.232
New York Knicks,17,65,0.207
